timestamp;resource;state
01-06-2023 07:06:34.446;cell2;idle
01-06-2023 07:40:10.053;cell2;failure
01-06-2023 07:44:12.625;cell1;repaired
01-06-2023 07:44:12.625;cell1;busy
01-06-2023 07:44:15.357;agv2;repaired
01-06-2023 07:44:15.357;agv2;busy
01-06-2023 07:49:22.694;agv2;idle
01-06-2023 07:49:22.694;agv2;busy
01-06-2023 07:50:00.623;cell1;idle
01-06-2023 07:50:00.623;cell1;busy
01-06-2023 07:55:07.338;agv2;idle
01-06-2023 07:55:07.338;agv2;busy
01-06-2023 07:57:11.513;cell1;idle
01-06-2023 07:57:11.513;cell1;busy
01-06-2023 08:01:48.690;agv2;idle
01-06-2023 08:01:48.690;agv2;busy
01-06-2023 08:05:10.595;cell1;idle
01-06-2023 08:05:10.595;cell1;busy
01-06-2023 08:09:02.957;agv2;idle
01-06-2023 08:09:02.957;agv2;busy
01-06-2023 08:12:39.281;cell1;idle
01-06-2023 08:12:39.281;cell1;busy
01-06-2023 08:14:47.123;agv2;idle
01-06-2023 08:14:47.123;agv2;busy
01-06-2023 08:19:47.814;cell1;idle
01-06-2023 08:54:48.959;cell2;repaired
01-06-2023 08:54:48.959;cell2;busy
01-06-2023 08:59:34.535;agv2;idle
01-06-2023 08:59:34.535;agv2;busy
01-06-2023 09:01:59.263;cell2;idle
01-06-2023 09:01:59.263;cell2;busy
01-06-2023 09:07:54.763;agv2;idle
01-06-2023 09:07:54.763;agv2;busy
01-06-2023 09:08:00.664;cell2;idle
01-06-2023 09:08:00.664;cell2;busy
01-06-2023 09:09:52.872;cell1;failure
01-06-2023 09:14:18.352;cell2;idle
01-06-2023 09:14:18.352;cell2;busy
01-06-2023 09:15:07.746;agv2;idle
01-06-2023 09:15:07.746;agv2;busy
01-06-2023 09:19:15.995;agv2;idle
01-06-2023 09:19:15.995;agv2;busy
01-06-2023 09:21:22.893;cell2;idle
01-06-2023 09:21:22.893;cell2;busy
01-06-2023 09:27:59.204;agv2;idle
01-06-2023 09:27:59.204;agv2;failure
01-06-2023 09:29:36.567;cell2;idle
01-06-2023 09:29:36.567;cell2;busy
01-06-2023 09:36:44.369;cell2;idle
01-06-2023 09:36:44.369;cell2;busy
01-06-2023 09:44:16.735;cell2;idle
01-06-2023 09:44:16.735;cell2;busy
01-06-2023 09:51:39.015;cell1;repaired
01-06-2023 09:51:51.404;cell2;idle
01-06-2023 09:51:51.404;cell2;busy
01-06-2023 09:59:33.393;cell2;idle
01-06-2023 09:59:33.393;cell2;busy
01-06-2023 10:00:48.973;agv1;repaired
01-06-2023 10:00:48.973;agv1;busy
01-06-2023 10:04:44.311;agv1;idle
01-06-2023 10:04:44.311;cell1;busy
01-06-2023 10:04:44.311;agv1;busy
01-06-2023 10:07:32.880;agv1;idle
01-06-2023 10:07:32.880;agv1;busy
01-06-2023 10:07:47.673;cell2;idle
01-06-2023 10:11:32.746;agv1;idle
01-06-2023 10:11:32.746;agv1;busy
01-06-2023 10:13:25.552;cell2;failure
01-06-2023 10:13:31.108;cell1;idle
01-06-2023 10:13:31.108;cell1;busy
01-06-2023 10:16:07.379;agv1;idle
01-06-2023 10:16:07.379;agv1;busy
01-06-2023 10:19:10.030;agv1;idle
01-06-2023 10:19:10.030;agv1;busy
01-06-2023 10:20:18.310;cell1;idle
01-06-2023 10:20:18.310;cell1;busy
01-06-2023 10:21:48.194;agv1;idle
01-06-2023 10:21:48.194;agv1;busy
01-06-2023 10:26:47.622;agv1;idle
01-06-2023 10:26:47.622;agv1;busy
01-06-2023 10:26:54.650;cell1;idle
01-06-2023 10:26:54.650;cell1;busy
01-06-2023 10:30:43.793;agv1;idle
01-06-2023 10:30:43.793;agv1;busy
01-06-2023 10:34:05.405;agv1;idle
01-06-2023 10:34:05.405;agv1;busy
01-06-2023 10:36:07.900;cell1;idle
01-06-2023 10:36:07.900;cell1;busy
01-06-2023 10:39:34.237;agv1;idle
01-06-2023 10:39:34.237;agv1;busy
01-06-2023 10:41:56.678;cell1;idle
01-06-2023 10:41:56.678;cell1;busy
01-06-2023 10:45:10.506;agv1;idle
01-06-2023 10:45:10.506;agv1;busy
01-06-2023 10:48:12.667;cell1;idle
01-06-2023 10:48:12.667;cell1;busy
01-06-2023 10:52:50.417;agv1;idle
01-06-2023 10:52:50.417;agv1;busy
01-06-2023 10:53:42.892;cell1;idle
01-06-2023 10:53:42.892;cell1;busy
01-06-2023 10:57:45.210;agv1;idle
01-06-2023 10:57:45.210;agv1;busy
01-06-2023 11:00:08.065;cell1;idle
01-06-2023 11:00:08.065;cell1;busy
01-06-2023 11:03:20.172;agv1;idle
01-06-2023 11:03:20.172;agv1;busy
01-06-2023 11:09:21.653;cell1;idle
01-06-2023 11:09:21.653;cell1;busy
01-06-2023 11:14:13.607;agv1;idle
01-06-2023 11:14:13.607;agv1;busy
01-06-2023 11:15:27.304;cell1;idle
01-06-2023 11:15:27.304;cell1;busy
01-06-2023 11:18:25.226;agv1;idle
01-06-2023 11:18:25.226;agv1;busy
01-06-2023 11:23:18.938;cell1;idle
01-06-2023 11:23:18.938;cell1;failure
01-06-2023 11:28:27.056;cell2;repaired
01-06-2023 11:53:11.253;agv2;repaired
