timestamp;order_id;resource;event;event_type
01-06-2023 02:48:47.645;466;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 02:50:49.208;500;mes;new_order;NA
01-06-2023 02:50:49.208;500;mes;direct_to_line1;NA
01-06-2023 02:52:39.228;466;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 02:55:15.658;459;cell1;cell1_operation;end
01-06-2023 02:55:15.658;459;mes;order_completed;NA
01-06-2023 02:55:15.658;460;mes;enter_cell1;NA
01-06-2023 02:55:15.658;460;cell1;cell1_operation;start
01-06-2023 03:00:02.956;501;mes;new_order;NA
01-06-2023 03:00:02.956;501;mes;direct_to_line1;NA
01-06-2023 03:00:08.489;502;mes;new_order;NA
01-06-2023 03:00:08.489;502;mes;direct_to_line2;NA
01-06-2023 03:03:24.807;460;cell1;cell1_operation;end
01-06-2023 03:03:24.807;460;mes;order_completed;NA
01-06-2023 03:03:24.807;461;mes;enter_cell1;NA
01-06-2023 03:03:24.807;461;cell1;cell1_operation;start
01-06-2023 03:09:56.411;503;mes;new_order;NA
01-06-2023 03:09:56.411;503;mes;direct_to_line1;NA
01-06-2023 03:10:35.532;461;cell1;cell1_operation;end
01-06-2023 03:10:35.532;461;mes;order_completed;NA
01-06-2023 03:10:35.532;462;mes;enter_cell1;NA
01-06-2023 03:10:35.532;462;cell1;cell1_operation;start
01-06-2023 03:12:21.212;504;mes;new_order;NA
01-06-2023 03:12:21.212;504;mes;direct_to_line1;NA
01-06-2023 03:17:48.917;505;mes;new_order;NA
01-06-2023 03:17:48.917;505;mes;direct_to_line1;NA
01-06-2023 03:19:36.870;462;cell1;cell1_operation;end
01-06-2023 03:19:36.870;462;mes;order_completed;NA
01-06-2023 03:19:36.870;464;mes;enter_cell1;NA
01-06-2023 03:19:36.870;464;cell1;cell1_operation;start
01-06-2023 03:19:38.501;506;mes;new_order;NA
01-06-2023 03:19:38.501;506;mes;direct_to_line1;NA
01-06-2023 03:23:40.835;507;mes;new_order;NA
01-06-2023 03:23:40.835;507;mes;direct_to_line2;NA
01-06-2023 03:25:31.132;464;cell1;cell1_operation;end
01-06-2023 03:25:31.132;464;mes;order_completed;NA
01-06-2023 03:25:31.132;466;mes;enter_cell1;NA
01-06-2023 03:25:31.132;466;cell1;cell1_operation;start
01-06-2023 03:32:20.575;466;cell1;cell1_operation;end
01-06-2023 03:32:20.575;466;mes;order_completed;NA
01-06-2023 03:37:48.016;508;mes;new_order;NA
01-06-2023 03:37:48.016;508;mes;direct_to_line1;NA
01-06-2023 03:38:24.608;509;mes;new_order;NA
01-06-2023 03:38:24.608;509;mes;direct_to_line2;NA
01-06-2023 03:38:45.570;510;mes;new_order;NA
01-06-2023 03:38:45.570;510;mes;direct_to_line1;NA
01-06-2023 03:43:32.472;511;mes;new_order;NA
01-06-2023 03:43:32.472;511;mes;direct_to_line1;NA
01-06-2023 03:44:44.096;512;mes;new_order;NA
01-06-2023 03:44:44.096;512;mes;direct_to_line1;NA
01-06-2023 03:49:05.624;467;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 03:51:55.475;513;mes;new_order;NA
01-06-2023 03:51:55.475;513;mes;direct_to_line2;NA
01-06-2023 03:53:30.617;467;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 03:53:30.617;468;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 03:57:14.516;514;mes;new_order;NA
01-06-2023 03:57:14.516;514;mes;direct_to_line1;NA
01-06-2023 03:58:19.532;515;mes;new_order;NA
01-06-2023 03:58:19.532;515;mes;direct_to_line2;NA
01-06-2023 03:59:07.166;468;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 03:59:07.166;469;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 04:03:31.433;516;mes;new_order;NA
01-06-2023 04:03:31.433;516;mes;direct_to_line2;NA
01-06-2023 04:04:06.446;517;mes;new_order;NA
01-06-2023 04:04:06.446;517;mes;direct_to_line1;NA
01-06-2023 04:04:22.284;467;mes;enter_cell2;NA
01-06-2023 04:04:22.284;467;cell2;cell2_operation;start
01-06-2023 04:06:14.869;469;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 04:06:14.869;471;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 04:11:09.602;518;mes;new_order;NA
01-06-2023 04:11:09.602;518;mes;direct_to_line1;NA
01-06-2023 04:11:56.710;471;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 04:11:56.710;472;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 04:12:07.937;467;cell2;cell2_operation;end
01-06-2023 04:12:07.937;467;mes;order_completed;NA
01-06-2023 04:12:07.937;468;mes;enter_cell2;NA
01-06-2023 04:12:07.937;468;cell2;cell2_operation;start
01-06-2023 04:13:09.830;519;mes;new_order;NA
01-06-2023 04:13:09.830;519;mes;direct_to_line1;NA
01-06-2023 04:13:24.999;520;mes;new_order;NA
01-06-2023 04:13:24.999;520;mes;direct_to_line1;NA
01-06-2023 04:16:15.959;521;mes;new_order;NA
01-06-2023 04:16:15.959;521;mes;direct_to_line2;NA
01-06-2023 04:17:07.657;522;mes;new_order;NA
01-06-2023 04:17:07.657;522;mes;direct_to_line1;NA
01-06-2023 04:18:29.297;472;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 04:18:29.297;476;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 04:21:05.823;468;cell2;cell2_operation;end
01-06-2023 04:21:05.823;468;mes;order_completed;NA
01-06-2023 04:21:05.823;469;mes;enter_cell2;NA
01-06-2023 04:21:05.823;469;cell2;cell2_operation;start
01-06-2023 04:24:14.648;476;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 04:24:14.648;477;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 04:27:05.710;523;mes;new_order;NA
01-06-2023 04:27:05.710;523;mes;direct_to_line1;NA
01-06-2023 04:28:07.526;524;mes;new_order;NA
01-06-2023 04:28:07.526;524;mes;direct_to_line1;NA
01-06-2023 04:28:12.868;469;cell2;cell2_operation;end
01-06-2023 04:28:12.868;469;mes;order_completed;NA
01-06-2023 04:28:12.868;471;mes;enter_cell2;NA
01-06-2023 04:28:12.868;471;cell2;cell2_operation;start
01-06-2023 04:29:28.932;525;mes;new_order;NA
01-06-2023 04:29:28.932;525;mes;direct_to_line1;NA
01-06-2023 04:29:39.832;526;mes;new_order;NA
01-06-2023 04:29:39.832;526;mes;direct_to_line2;NA
01-06-2023 04:30:15.954;477;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 04:30:15.954;478;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 04:31:05.684;527;mes;new_order;NA
01-06-2023 04:31:05.684;527;mes;direct_to_line1;NA
01-06-2023 04:33:30.281;528;mes;new_order;NA
01-06-2023 04:33:30.281;528;mes;direct_to_line2;NA
01-06-2023 04:35:51.993;478;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 04:35:51.993;481;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 04:36:15.635;471;cell2;cell2_operation;end
01-06-2023 04:36:15.635;471;mes;order_completed;NA
01-06-2023 04:36:15.635;472;mes;enter_cell2;NA
01-06-2023 04:36:15.635;472;cell2;cell2_operation;start
01-06-2023 04:40:59.324;481;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 04:40:59.324;483;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 04:42:31.944;529;mes;new_order;NA
01-06-2023 04:42:31.944;529;mes;direct_to_line2;NA
01-06-2023 04:44:51.153;472;cell2;cell2_operation;end
01-06-2023 04:44:51.153;472;mes;order_completed;NA
01-06-2023 04:44:51.153;476;mes;enter_cell2;NA
01-06-2023 04:44:51.153;476;cell2;cell2_operation;start
01-06-2023 04:46:24.883;530;mes;new_order;NA
01-06-2023 04:46:24.883;530;mes;direct_to_line2;NA
01-06-2023 04:46:33.415;483;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 04:46:33.415;485;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 04:47:45.142;531;mes;new_order;NA
01-06-2023 04:47:45.142;531;mes;direct_to_line2;NA
01-06-2023 04:49:38.525;532;mes;new_order;NA
01-06-2023 04:49:38.525;532;mes;direct_to_line1;NA
01-06-2023 04:51:17.880;533;mes;new_order;NA
01-06-2023 04:51:17.880;533;mes;direct_to_line1;NA
01-06-2023 04:51:20.540;534;mes;new_order;NA
01-06-2023 04:51:20.540;534;mes;direct_to_line2;NA
01-06-2023 04:52:11.242;485;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 04:53:03.319;476;cell2;cell2_operation;end
01-06-2023 04:53:03.319;476;mes;order_completed;NA
01-06-2023 04:53:03.319;477;mes;enter_cell2;NA
01-06-2023 04:53:03.319;477;cell2;cell2_operation;start
01-06-2023 04:53:03.319;488;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 04:58:59.969;488;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 05:02:32.480;470;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 05:02:38.142;535;mes;new_order;NA
01-06-2023 05:02:38.142;535;mes;direct_to_line1;NA
01-06-2023 05:02:38.310;536;mes;new_order;NA
01-06-2023 05:02:38.310;536;mes;direct_to_line2;NA
01-06-2023 05:03:00.670;477;cell2;cell2_operation;end
01-06-2023 05:03:00.670;477;mes;order_completed;NA
01-06-2023 05:03:00.670;478;mes;enter_cell2;NA
01-06-2023 05:03:00.670;478;cell2;cell2_operation;start
01-06-2023 05:03:00.670;489;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 05:06:13.419;470;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 05:06:13.419;473;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 05:08:49.509;537;mes;new_order;NA
01-06-2023 05:08:49.509;537;mes;direct_to_line1;NA
01-06-2023 05:09:19.622;489;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 05:10:15.933;473;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 05:10:15.933;474;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 05:10:31.870;478;cell2;cell2_operation;end
01-06-2023 05:10:31.870;478;mes;order_completed;NA
01-06-2023 05:10:31.870;481;mes;enter_cell2;NA
01-06-2023 05:10:31.870;481;cell2;cell2_operation;start
01-06-2023 05:10:31.870;490;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 05:10:46.284;470;mes;enter_cell1;NA
01-06-2023 05:10:46.284;470;cell1;cell1_operation;start
01-06-2023 05:15:22.840;474;agv1;agv1_transport_to_cell1_buffer;end
