timestamp;order_id;resource;event;event_type
01-06-2023 02:17:07.321;482;mes;new_order;NA
01-06-2023 02:17:07.321;482;mes;direct_to_line1;NA
01-06-2023 02:17:13.622;483;mes;new_order;NA
01-06-2023 02:17:13.622;483;mes;direct_to_line1;NA
01-06-2023 02:19:48.383;484;mes;new_order;NA
01-06-2023 02:19:48.383;484;mes;direct_to_line1;NA
01-06-2023 02:20:19.002;485;mes;new_order;NA
01-06-2023 02:20:19.002;485;mes;direct_to_line1;NA
01-06-2023 02:23:03.729;460;cell2;cell2_operation;end
01-06-2023 02:23:03.729;460;mes;order_completed;NA
01-06-2023 02:23:03.729;461;mes;enter_cell2;NA
01-06-2023 02:23:03.729;461;cell2;cell2_operation;start
01-06-2023 02:25:28.155;456;mes;enter_cell1;NA
01-06-2023 02:25:28.155;456;cell1;cell1_operation;start
01-06-2023 02:31:09.753;461;cell2;cell2_operation;end
01-06-2023 02:31:09.753;461;mes;order_completed;NA
01-06-2023 02:31:14.252;486;mes;new_order;NA
01-06-2023 02:31:14.252;486;mes;direct_to_line2;NA
01-06-2023 02:32:15.838;456;cell1;cell1_operation;end
01-06-2023 02:32:15.838;456;mes;order_completed;NA
01-06-2023 02:32:15.838;457;mes;enter_cell1;NA
01-06-2023 02:32:15.838;457;cell1;cell1_operation;start
01-06-2023 02:32:45.897;487;mes;new_order;NA
01-06-2023 02:32:45.897;487;mes;direct_to_line2;NA
01-06-2023 02:34:17.820;488;mes;new_order;NA
01-06-2023 02:34:17.820;488;mes;direct_to_line1;NA
01-06-2023 02:34:53.271;489;mes;new_order;NA
01-06-2023 02:34:53.271;489;mes;direct_to_line1;NA
01-06-2023 02:36:09.422;490;mes;new_order;NA
01-06-2023 02:36:09.422;490;mes;direct_to_line1;NA
01-06-2023 02:39:31.205;457;cell1;cell1_operation;end
01-06-2023 02:39:31.205;457;mes;order_completed;NA
01-06-2023 02:39:31.205;458;mes;enter_cell1;NA
01-06-2023 02:39:31.205;458;cell1;cell1_operation;start
01-06-2023 02:43:50.113;491;mes;new_order;NA
